titles,days left to bid,url,description,skills,budget,verified_traits_list,competition_sum,competition_list,id,Payment Verified,Made a Deposit,E-mail Verified,currency,min_value,max_value,per_hour
Content marketing,6,https://www.freelancer.com/projects/content-marketing/content-marketing-33164138/,"I need content ideas for making Instagram reels. I already have an Instagram account and have created a few reels.

I want a professional who can give me better ideas. I want to make around 50 videos. 
So, I need 50 ideas which should include audio and subtitles, primarily.","Content Marketing, Content Writing, Content Strategy, Social Media Marketing", $400-500 USD,"['E-mail Verified', 'Payment Verified']",2 freelancers are bidding on average $425 for this job,"[{'url': '/u/yashdh2221', 'rating': '0.0'}]",11,[1],,[3],USD,400,500,False
Virtual Assistant - Book Publishing -- 4,6,https://www.freelancer.com/projects/data-entry/virtual-assistant-book-publishing-33164192/,"I am an author/publisher of LGBT romances. I am looking for a virtual assistant to take over the management of my translations and database. You must be available to work during PST time zone work hours for training and for weekly update meetings. This is an ongoing job requiring a minimum of 20 hrs a week:

The duties of the job would include:

- Manage book translations: Communicate with translators. Assign them books. Send them files. Receive finished translations.
- Format books in MS Word & Upload to internal database: Ensure books have proper indentation, chapter headers, and advertisements, double-check basic html coding.
- Upload books to Amazon: Create pre-orders, and upload formatted books.

Required skills:
- Microsoft word
- Excel (basic knowledge)
- Email communication skills
- Wordpress

Preferred skill (but not required)
- Kindle Direct Publishing
- Photoshop experience
- Facebook ads experience
- Amazon Ads experience
-Basic html knowledge","Data Entry, Excel, Virtual Assistant, Microsoft Word, HTML", $8-15 USD / hour,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",4 freelancers are bidding on average $17/hour for this job,"[{'url': '/u/godesignpk', 'rating': '4.9'}, {'url': '/u/dfordesigners', 'rating': '4.7'}, {'url': '/u/tayyab2010', 'rating': '0.0'}]",12,[1],[2],[3],USD,8,15,True
Spanish translation,6,https://www.freelancer.com/projects/translation/spanish-translation-33164191/,I have a PDF file to be transjd,"Translation, Spanish, English (US) Translator, Spanish (Spain), English (UK) Translator", $250-750 USD,['E-mail Verified'],1 freelancer is bidding on average $500 for this job,[],13,,,[3],USD,250,750,False
I need readable and developable web page  texas poker game source code.(both mobile and desktop),6,https://www.freelancer.com/projects/javascript/need-readable-developable-web-page/,"We are a game platform. now we decide to integrate texas poker into our platform.
1. We need the source code and the documentation of the source code and the support of the freelancer to help us integrate the game into our platform.
2. We would develop the data connection between the game and our platform and deploy the game by ourselves. you just need to provide the Texas poker game source code and teach us how to develop the base code further.
3. The game is based on the web page. (both mobile and desktop )
4.nodejs+react is primarily considered.
5. We are a game platform. so we need more games in the future .so this is just a start I promise.","JavaScript, Node.js, HTML5, Java, Golang", $30-250 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",1 freelancer is bidding on average $199 for this job,[],14,[1],[2],[3],USD,30,250,False
Need a good C++ Developer,6,https://www.freelancer.com/projects/cplusplus-programming/need-good-developer-33164131/,"I wanna apply SIMD for pooling layer that could be found in heather

So each pooling features will assign to pointer

when running the code you will have to call the parameters and image

./result params1 [login to view URL]

Please bid only if you have any knowledge for this","C++ Programming, C# Programming, C Programming, .NET, Software Architecture", ₹1500-12500 INR,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",1 freelancer is bidding on average ₹8000 for this job,[],15,[1],[2],[3],INR,1500,12500,False
Using Mediasoup Nodejs Broadcast,6,https://www.freelancer.com/projects/nodejs/using-mediasoup-nodejs-broadcast/,"Hi we need those who have skilled in webrtc , Mediasoup nodejs one to many broadcast for each room","Node.js, JavaScript, Express JS, WebRTC", ₹1500-12500 INR,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",1 freelancer is bidding on average ₹7000 for this job,[],16,[1],[2],[3],INR,1500,12500,False
Sketchup model of Single Building,6,https://www.freelancer.com/projects/3d-modelling/sketchup-model-single-building/,"I need sketchup model of single building.
I have sketch drawing of building and frame.
Main is structural model in sketchup.
","3D Modelling, 3D Rendering, Autodesk Revit, SketchUp, AutoCAD", $15-25 USD / hour,"['E-mail Verified', 'Payment Verified']",17 freelancers are bidding on average $19/hour for this job,"[{'url': '/u/sanjaypatel2', 'rating': '5.0'}, {'url': '/u/beingmrme', 'rating': '4.7'}, {'url': '/u/azraazeen9', 'rating': '4.9'}, {'url': '/u/Shazyshah', 'rating': '4.9'}, {'url': '/u/sanj2116', 'rating': '4.9'}, {'url': '/u/saarchitect2580', 'rating': '4.8'}, {'url': '/u/neha1990love', 'rating': '4.6'}, {'url': '/u/AlbertoAybar', 'rating': '4.5'}, {'url': '/u/InstantCreate', 'rating': '4.7'}, {'url': '/u/moosadesai2030', 'rating': '5.0'}, {'url': '/u/Theimpressionz51', 'rating': '5.0'}, {'url': '/u/julietadejeanne', 'rating': '4.9'}, {'url': '/u/Darhnie', 'rating': '5.0'}, {'url': '/u/dotcircle64', 'rating': '0.0'}, {'url': '/u/internativelabs5', 'rating': '0.0'}, {'url': '/u/graphicqueen767', 'rating': '0.0'}]",17,[1],,[3],USD,15,25,True
Need a C/C++ developer -- 4,6,https://www.freelancer.com/projects/cplusplus-programming/need-developer-33164179/,"I wanna apply SIMD for pooling layer that could be found in heather

So each pooling features will assign to pointer

when running the code you will have to call the parameters and image

./result params1 [login to view URL]","C++ Programming, C# Programming, C Programming, .NET, Software Architecture", ₹12500-37500 INR,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",Other jobs from this employer,[],18,[1],[2],[3],INR,12500,37500,False
Build a Python Script Using Beautiful Soup and Pandas,6,https://www.freelancer.com/projects/python/build-python-script-using-beautiful/,"I'm looking for an experienced python programmer to write a script, using BS4 and Pandas TA (req. working knowledge of Pandas): 

1. Scrape a list of stocks using BS4 from public sites (Yahoo Finance or similar) -- I will provide links for the specific lists to scrape
2. Use Pandas TA library to apply technical indicators to the list of stocks from above. I will provide and grant access to the SQL database with stock prices, to be used for the calculations
3. Format output of the Pandas TA calculations, grouping stocks in one of 4 buckets (based on specific technical parameters I will provide -- ie. 'is the stock above or below the 21-period exponential moving average')

Please only apply if you already have a baseline understanding and have worked with Pandas. Bonus if you have worked with the Pandas TA library, and have a general understanding of basic technical indicators.

I am looking for a handoff of the python script only. If you think you would be a good fit for this project, please go ahead and send a proposal, with the keyword 'pandas' at the top of the proposal. All bids without the keyword will be ignored (and all bids without any pandas experience showcased in the bid, will also be ignored). Links to your github are fine. 

","Python, Web Scraping", $30-250 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",Other jobs from this employer,[],19,[1],[2],[3],USD,30,250,False
Need animator for a short film.,6,https://www.freelancer.com/projects/animation/need-animator-for-short-film/,I have written a short film which can only be produced if animated. approximately 5 mins in length. Looking for people who can help me out at a cheaper rate,Animation, ₹600-1500 INR,['E-mail Verified'],Similar jobs,[],20,,,[3],INR,600,1500,False
Need a C/C++ developer -- 3,6,https://www.freelancer.com/projects/cplusplus-programming/need-developer-33164175/,"I wanna apply SIMD for pooling layer that could be found in heather

So each pooling features will assign to pointer

when running the code you will have to call the parameters and image

./result params1 [login to view URL]","C++ Programming, C# Programming, C Programming, .NET, Software Architecture", ₹12500-37500 INR,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",3 freelancers are bidding on average ₹21667 for this job,"[{'url': '/u/emmanueldevelop9', 'rating': '0.0'}, {'url': '/u/pyanskiy', 'rating': '0.0'}]",21,[1],[2],[3],INR,12500,37500,False
Data Entry,6,https://www.freelancer.com/projects/data-entry/data-entry-33164172/,"in need of a data entry operator that has little or great experience in the following skill
*Typing
*writing
*Data entry etc.
this job require both mobile phone users and also computer operators. So if you think you are good in typing, consider your self fit for this particular task.","Data Entry, Excel, Data Processing, Copy Typing, Virtual Assistant", $250-750 USD,['E-mail Verified'],6 freelancers are bidding on average $300 for this job,"[{'url': '/u/Miqbal242', 'rating': '0.0'}, {'url': '/u/tayyab2010', 'rating': '0.0'}, {'url': '/u/Anjana002', 'rating': '0.0'}, {'url': '/u/Saratariq403', 'rating': '0.0'}, {'url': '/u/jltew2', 'rating': '0.0'}]",22,,,[3],USD,250,750,False
I want a website for my salon using php,6,https://www.freelancer.com/projects/php/want-website-for-salon-using/,Salon single page website with admin,"PHP, HTML, MySQL", ₹1500-12500 INR,['E-mail Verified'],Similar jobs,[],23,,,[3],INR,1500,12500,False
Photoshop and Logo Edit,6,https://www.freelancer.com/projects/photoshop/photoshop-logo-edit/,"Attached is a logo i have for a client-

I would like:

- all white lettering png
- all black letting png
- all white svg
- all black svg","Photoshop, Illustrator", $10-30 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",66 freelancers are bidding on average $27 for this job,"[{'url': '/u/dworker88', 'rating': '5.0'}, {'url': '/u/zaib14414', 'rating': '4.9'}, {'url': '/u/GraphicArt13', 'rating': '4.9'}, {'url': '/u/rabiulkhan866', 'rating': '5.0'}, {'url': '/u/sparkingboy2010', 'rating': '5.0'}, {'url': '/u/rawtech19', 'rating': '4.9'}, {'url': '/u/dfordesigners', 'rating': '5.0'}, {'url': '/u/DesignsQueen', 'rating': '5.0'}, {'url': '/u/ArtisticQueens', 'rating': '5.0'}, {'url': '/u/LionConcepts', 'rating': '5.0'}, {'url': '/u/eDesignerExpert', 'rating': '4.9'}, {'url': '/u/tanvirmrt', 'rating': '4.9'}, {'url': '/u/balgraphic', 'rating': '5.0'}, {'url': '/u/navuabdul20', 'rating': '4.9'}, {'url': '/u/aimanhaider1', 'rating': '4.9'}, {'url': '/u/sreedip', 'rating': '5.0'}, {'url': '/u/eaglegraphics247', 'rating': '5.0'}, {'url': '/u/Aysohel1122', 'rating': '5.0'}, {'url': '/u/gdmasud', 'rating': '4.9'}]",24,[1],[2],[3],USD,10,30,False
Wedding invitation,6,https://www.freelancer.com/projects/illustration/wedding-invitation-33164165/,Im looking for a cartoonist to do a digital wedding invitation. Just like the sample image ,"Illustration, Graphic Design, Caricature & Cartoons, Illustrator, Photoshop", $10-30 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",27 freelancers are bidding on average $36 for this job,"[{'url': '/u/GraphicArt13', 'rating': '4.9'}, {'url': '/u/LionConcepts', 'rating': '5.0'}, {'url': '/u/eDesignerExpert', 'rating': '4.9'}, {'url': '/u/ArtisticQueens', 'rating': '5.0'}, {'url': '/u/sahildogra222', 'rating': '4.9'}, {'url': '/u/eaglegraphics247', 'rating': '5.0'}, {'url': '/u/GraficxDesigner', 'rating': '5.0'}, {'url': '/u/DesiignGeeks', 'rating': '4.9'}, {'url': '/u/muskaannadaf', 'rating': '4.7'}, {'url': '/u/romilbhagat89', 'rating': '4.8'}, {'url': '/u/operat0r', 'rating': '4.9'}, {'url': '/u/shan64832', 'rating': '4.9'}, {'url': '/u/naumansaud', 'rating': '5.0'}, {'url': '/u/amazingarts06', 'rating': '4.9'}, {'url': '/u/neha1990love', 'rating': '4.6'}, {'url': '/u/rezaulalam573', 'rating': '4.9'}, {'url': '/u/AlphaTech2021', 'rating': '4.9'}, {'url': '/u/CustomIDEAS', 'rating': '4.7'}, {'url': '/u/dotcircle64', 'rating': '5.0'}]",25,[1],[2],[3],USD,10,30,False
Typing word,6,https://www.freelancer.com/projects/word/typing-word-33164170/,Word typing and typing relevant work copy Typing ,"Word, Copy Typing, Data Entry, Excel, PDF", $250-750 USD,['E-mail Verified'],2 freelancers are bidding on average $375 for this job,"[{'url': '/u/BizaNaravno', 'rating': '0.0'}]",26,,,[3],USD,250,750,False
"Need an experienced Solidity, React developer for Cosmos & Evmos project",6,https://www.freelancer.com/projects/solidity/need-experienced-solidity-react/,"I am looking for a blockchain dev to help with our launchpad project. 
We’ll be launching it on Evmos (EVM on Cosmos)
The initial smart contract code is already written as well as much of the front-end.

We’re building a fundraising platform for new projects launching on the Evmos & Cosmos ecosystems.
Within Cosmos we’re also already connected with most top projects in the space, many of which are waiting for stronger market conditions to launch.

If you are interested in my project, need a  few hours work for testing purposes before start working on it.","Solidity, React.js, Blockchain, Smart Contracts, Web3.js", $25-50 USD / hour,['E-mail Verified'],4 freelancers are bidding on average $38/hour for this job,"[{'url': '/u/dfordesigners', 'rating': '0.0'}, {'url': '/u/arslanu2', 'rating': '0.0'}, {'url': '/u/sovlad', 'rating': '0.0'}]",27,,,[3],USD,25,50,True
Data antry,6,https://www.freelancer.com/projects/data-entry/data-antry-33164169/,Hello everyone i hope all is well we hely need freelancer works that can complete a project before deciding,"Data Entry, Excel, Data Processing, Web Search, Web Scraping", £250-750 GBP,['E-mail Verified'],Similar jobs,[],28,,,[3],GBP,250,750,False
digital marketing services,6,https://www.freelancer.com/projects/marketing/digital-marketing-services/,"we are looking for someone who knows about digital marketing, lead generation and SEO to increase our sales, website visits and better e-commerce marketing.","Marketing, SEO, Facebook Marketing, PPC Marketing, Digital Marketing", ₹75000-150000 INR,['E-mail Verified'],2 freelancers are bidding on average ₹75000 for this job,"[{'url': '/u/mamtatiwari14009', 'rating': '0.0'}]",29,,,[3],INR,75000,150000,False
Social media advertising,6,https://www.freelancer.com/projects/social-media-marketing/social-media-advertising-33164095/,"I need social media advertisers for my Instagram account. I am open to all possible options.
","Social Media Marketing, Facebook Marketing, Instagram Marketing", $400-500 USD,"['E-mail Verified', 'Payment Verified']",12 freelancers are bidding on average $429 for this job,"[{'url': '/u/miltonatik', 'rating': '4.9'}, {'url': '/u/Diiggital', 'rating': '5.0'}, {'url': '/u/zainali033', 'rating': '4.8'}, {'url': '/u/Blackstarads', 'rating': '5.0'}, {'url': '/u/ranjan2539', 'rating': '4.9'}, {'url': '/u/nasima26045', 'rating': '3.2'}, {'url': '/u/anikurmotin', 'rating': '4.0'}, {'url': '/u/Apurva510', 'rating': '0.0'}, {'url': '/u/Seopragyat', 'rating': '0.0'}, {'url': '/u/salmanahmed75', 'rating': '0.0'}, {'url': '/u/Srizvi6277', 'rating': '0.0'}]",30,[1],,[3],USD,400,500,False
would like to make a sand table on the same principle as this,6,https://www.freelancer.com/projects/pcb-layout/would-like-make-sand-table/,"Hello sir,

I would like to make a sand table on the same principle as this: [login to view URL]

I bought a laser engraver chassis like this: [login to view URL]

I mounted a magnet on this engraver. I can get the engraver to work and move the carriage with the software that came with the laser engraver. I would like to connect the engraver to the internet with a Wemos D1 (or other esp8266). I have a Home-Assistant system in my home. I would like to integrate the engraver into home-assistant and thus be able to choose different patterns (as in the video). I would also like to control the colors of a WS1812b addressable led strip depending on the position of the ball.

Are you interested in this project?
Do you have the skills?
If so how do you see things? what time limit? what rate?

I want to thank you.
Best regards","PCB Layout, Microcontroller, Circuit Design, Electronics, Arduino", $30-250 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",Other jobs from this employer,[],31,[1],[2],[3],USD,30,250,False
Custom funko pop for 3D printing,6,https://www.freelancer.com/projects/3d-modelling/custom-funko-pop-for-printing/,"I need a 3d modeler to create 2 custom funko pop figures for 3D printing. I need the characters ASAP. I will show reference upon message. Please bid according to the price you will charge. Bids that change price amount upon message will not be considered for awards. 

Include the phrase ""character sculpting"" to ensure you read the description of the project. ","3D Modelling, 3D Rendering, 3D Design, 3ds Max", $30-250 USD,['E-mail Verified'],17 freelancers are bidding on average $106 for this job,"[{'url': '/u/stargateinfotech', 'rating': '4.8'}, {'url': '/u/sanjaypatel2', 'rating': '5.0'}, {'url': '/u/beingmrme', 'rating': '4.7'}, {'url': '/u/princegupta123', 'rating': '5.0'}, {'url': '/u/GraficxDesigner', 'rating': '5.0'}, {'url': '/u/azraazeen9', 'rating': '4.9'}, {'url': '/u/sanj2116', 'rating': '4.9'}, {'url': '/u/neha1990love', 'rating': '4.8'}, {'url': '/u/nkgnandan', 'rating': '5.0'}, {'url': '/u/moosadesai2030', 'rating': '5.0'}, {'url': '/u/KirillRomadanov1', 'rating': '4.8'}, {'url': '/u/Theimpressionz51', 'rating': '5.0'}, {'url': '/u/FedorKhyazkin1', 'rating': '5.0'}, {'url': '/u/dotcircle64', 'rating': '5.0'}, {'url': '/u/Andreiivanchik', 'rating': '5.0'}, {'url': '/u/internativelabs5', 'rating': '0.0'}]",32,,,[3],USD,30,250,False
برامج محاسبية,6,https://www.freelancer.com/projects/excel/project-33164149/,مشاريع و ميزانيات جاهزة علي الاكسيل,"Excel, Data Entry, Copy Typing", $250-750 USD,['E-mail Verified'],1 freelancer is bidding on average $250 for this job,[],33,,,[3],USD,250,750,False
Hand-written documents transfer from PDF to MS Word,6,https://www.freelancer.com/projects/editing/hand-written-documents-transfer-from-33164153/,"Because these fictional short stories were hand-written and are in PDF file format, and now I need to use them in publications, they need to be digitized into editable text files. No need to review for grammar or spelling; I can handle that later. Just need them in clean MS Word documents that I can work with on a PC.","Editing, Word, PDF, Proofreading, Copy Typing", €12-18 EUR / hour,['E-mail Verified'],6 freelancers are bidding on average €14/hour for this job,"[{'url': '/u/BizaNaravno', 'rating': '0.0'}, {'url': '/u/shaikhsaiub786', 'rating': '0.0'}, {'url': '/u/davispaulins1', 'rating': '0.0'}, {'url': '/u/imanafatima1', 'rating': '0.0'}, {'url': '/u/gulshanpatel2233', 'rating': '0.0'}]",34,,,[3],EUR,12,18,True
Woocommerce expert wanted -- 2,6,https://www.freelancer.com/projects/wordpress/woocommerce-expert-wanted-33164088/,"Searching for a WooCommerce expert to work on small edits/changes and to be available as needed to do additional work as needed. This is a new start up furniture drop shop site which is currently live but not yet operational. [login to view URL] 

I would also prefer someone who has proven verifiable track record  in SEO

Please respond with your Woocommerce portfolio and results of SEO accomplishments
I would prefer to do each product as a set budget. 

Ask me any questions. ","WordPress, WooCommerce, HTML, eCommerce, SEO", $30-250 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",48 freelancers are bidding on average $178 for this job,"[{'url': '/u/hjabeen972', 'rating': '5.0'}, {'url': '/u/fullstackdev1', 'rating': '5.0'}, {'url': '/u/Risalat1', 'rating': '4.8'}, {'url': '/u/Codeitsmarts', 'rating': '4.9'}, {'url': '/u/Zahi9', 'rating': '4.9'}, {'url': '/u/archnasahi', 'rating': '4.8'}, {'url': '/u/technovicinity', 'rating': '4.7'}, {'url': '/u/rukshanlancer', 'rating': '5.0'}, {'url': '/u/nishthamarwaha', 'rating': '4.9'}, {'url': '/u/baniksubir1', 'rating': '5.0'}, {'url': '/u/imTuyen', 'rating': '5.0'}, {'url': '/u/hashmi2048', 'rating': '4.8'}, {'url': '/u/alphaitindustry', 'rating': '5.0'}, {'url': '/u/asiflak', 'rating': '4.9'}, {'url': '/u/faizansaleem1598', 'rating': '5.0'}, {'url': '/u/divumanocha', 'rating': '4.8'}, {'url': '/u/Rekhathakur', 'rating': '5.0'}, {'url': '/u/seojohn061', 'rating': '5.0'}, {'url': '/u/sunilsharma15495', 'rating': '5.0'}]",35,[1],[2],[3],USD,30,250,False
