titles,days left to bid,url,description,skills,budget,verified_traits_list,competition_sum,competition_list
Bharat Aatm Nirbhar Yojna -- 2,6 days left,https://www.freelancer.com/projects/internet-marketing/bharat-aatm-nirbhar-yojna/,"Hii This is Abdullah from Team Elite Organisation Nagpur. Actually we are working on a project of Aatmnirbhar Bharat Yojna. And we are looking for a good team to work with. 

*Are you open for any part-time/full time work from home opportunity ?*

*_Its a kinda work from home opportunity for Students and Proffesionals._*

If yes kindly msg me

Thank you.

","Internet Marketing, Telemarketing, Social Networking, Social Media Management", ₹75000-150000 INR,['E-mail Verified'],1 freelancer is bidding on average ₹150000 for this job,[]
Educational Youtube channel,6 days left,https://www.freelancer.com/projects/articles/educational-youtube-channel/,"I wanna hire a script writer to research & write a video script on various Socieo-political , Historical and Economical content in Hindi Language .

He or She must have experience in Youtube video script writing !!","Article Writing, Content Writing, Ghostwriting, Copywriting, Research", ₹600-1500 INR,['E-mail Verified'],Similar jobs,[]
Framing Plans,6 days left,https://www.freelancer.com/projects/autocad/framing-plans/,"Very small project for NZ climate.
2 x concepts: wall based design and post and beam design. I have base concept plan but need to turn into a framing plan.
Auto CAD plus an oblique projection drawing needed","AutoCAD, CAD/CAM, Building Architecture, 3D Modelling, Civil Engineering", $30-250 NZD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",5 freelancers are bidding on average $204 for this job,"[{'url': '/u/ahmedghorab40', 'rating': '4.7'}, {'url': '/u/ARchiTectkaram', 'rating': '4.8'}, {'url': '/u/anmolmakkar666', 'rating': '5.0'}, {'url': '/u/MrmRazeel', 'rating': '5.0'}]"
force start a windows service,6 days left,https://www.freelancer.com/projects/software-architecture/force-start-windows-service/,I need a software that every time the computer starts it forces the start of a task in Windows services,"Software Architecture, Windows Desktop, C++ Programming, C# Programming, C Programming", $30-250 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",1 freelancer is bidding on average $140 for this job,[]
Youtube channel increase views,6 days left,https://www.freelancer.com/projects/facebook-marketing/youtube-channel-increase-views/,I made a new channel on youtube and I need someone experienced in marketing to publish it and increase subscribers and views,"Facebook Marketing, Social Media Marketing, Twitter, YouTube, Google Plus", $10-30 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",7 freelancers are bidding on average $26 for this job,"[{'url': '/u/chmehmood44', 'rating': '5.0'}, {'url': '/u/usmanbashir12100', 'rating': '4.9'}, {'url': '/u/neelamyadav2316', 'rating': '5.0'}, {'url': '/u/sambuddy01', 'rating': '0.0'}, {'url': '/u/SoftLuckys', 'rating': '0.0'}, {'url': '/u/orniislam91', 'rating': '0.0'}]"
Odoo 13 - contact customizations,6 days left,https://www.freelancer.com/projects/python/odoo-contact-customizations/,"In Odoo 13 we need few little customizations:
1) hide ""street2"" field in [login to view URL] ""child_ids"" kanban view
2) set [login to view URL] [login to view URL] default value to ""delivery"" and hide other choiches
3) set [login to view URL] default ""country_id"" to Odoo's main company country
4) when creating a Sale Order (or converting a Quotation to order) the linked customer must have following required fields: (street_name, street_number, city, state_id, zip, country_id, vat, phone or mobile, email). If customer doesn't meet these required fields an error should be shown before save
5) rename [login to view URL] vat Label from ""VAT"" to ""Fiscal Code"" when is_company == False ","Python, ERP, Software Architecture, Odoo", €8-30 EUR,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",Other jobs from this employer,[]
Edit Playing Card --------------------------------------------- 10,29 days left,https://www.freelancer.com/contest/edit-playing-card-2066164.html,,,,[],,[]
design a logo,2 days left,https://www.freelancer.com/contest/design-a-logo-2066163.html,,,,[],,[]
Edit package details,6 days left,https://www.freelancer.com/projects/react-js/edit-package-details/,"I have a website in next js, I want to display it's pricing based on countries. ","React.js, Next.js", ₹600-1500 INR,['E-mail Verified'],1 freelancer is bidding on average ₹1100 for this job,[]
"Upload 100 products with header, photos and description",6 days left,https://www.freelancer.com/projects/web-hosting/upload-products-with-header-photos/,Ready-made garments e-commerce website ,Web Hosting, ₹600-1500 INR,['E-mail Verified'],Other jobs from this employer,[]
Create catchy names and write product descriptions for all my products on my shopify store,6 days left,https://www.freelancer.com/projects/product-descriptions/create-catchy-names-write-product/,I need catchy names and product descriptions for all of the products in my shopify store. I have 93 products in my shopify store,"Product Descriptions, Copywriting, Data Entry, Content Writing, Shopify", $30-250 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",10 freelancers are bidding on average $117 for this job,"[{'url': '/u/Digitalexpertuae', 'rating': '4.9'}, {'url': '/u/Stopsolution', 'rating': '4.9'}, {'url': '/u/WatsonMediaNet', 'rating': '5.0'}, {'url': '/u/SEOcontentResume', 'rating': '5.0'}, {'url': '/u/SolutionMart', 'rating': '4.8'}, {'url': '/u/ranamzubair', 'rating': '5.0'}, {'url': '/u/FineIdeas', 'rating': '5.0'}, {'url': '/u/hassanbilal7866', 'rating': '5.0'}, {'url': '/u/anuragaadi', 'rating': '0.0'}]"
Musician for Hire,6 days left,https://www.freelancer.com/projects/music/musician-for-hire/,Need someone to play violin at a proposal dinner.,"Music, Audio Production, Audio Services, Sound Design, Voice Talent", $15-25 USD / hour,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",Other jobs from this employer,[]
Build a new CMMS platform with an IOS and Android App,6 days left,https://www.freelancer.com/projects/android/build-new-cmms-platform-with/,"Hello Freelancers, 

For a new project, we are in need for a developer or a team developers that can create a new CMMS system.

This system should be able to do the following: 
- Create workorders 
- Create preventive inspections for real estate property
- Order cleaning
- Order maintenance i.e. Pool cleaning 

The platform will be used by people who have a holiday house (second house) in example in Spain or in Croatia. They want to monitor the house with the app. Meaning that they will have access (via APP) to check when was the latest cleaning, when was the last maintenance of the pool and so on. 

Furthermore the app should have an AFTERCARE factor. Meaning that if the temporary resident (that has an property in country XYZ), comes and needs some additional services like ""dinner for 2"" or ""pay my bills online"" and so on, they will be able to do that with the app. 

At the last the app should have an FUN factor, where the temporary resident, but not only this group of people, can for example order an ""Bird seeing"" or ""rent a car"" through the app. 

All the functionalities should be build dynamic, so that we can add additional services in the platform and the app should be build for IOS and Android. 

We will need the whole package; design, development, project management and Q&A! 

Examples are: 
[login to view URL] 
[login to view URL]
","Android, Mobile App Development, iPhone, PHP, C# Programming", $5000-10000 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",3 freelancers are bidding on average $10000 for this job,"[{'url': '/u/heenafullstacken', 'rating': '4.8'}, {'url': '/u/Mohammad4thD', 'rating': '0.0'}]"
Copy typing -- 2,6 days left,https://www.freelancer.com/projects/copy-typing/copy-typing-33189611/,Copy typing simple JPEG (written images) to word documents and pdf files ,"Copy Typing, Data Entry, Word, PDF, Photoshop", $15-25 USD / hour,['E-mail Verified'],Other jobs from this employer,[]
Turkish translation,6 days left,https://www.freelancer.com/projects/translation/turkish-translation-33189606/,I need turkey freelancers or freelancers from other countries who can retype some document for me,"Translation, Turkish, English (US) Translator, English (UK) Translator, Arabic Translator", $250-750 USD,['E-mail Verified'],2 freelancers are bidding on average $675 for this job,"[{'url': '/u/shahriarkabir848', 'rating': '0.0'}]"
Need a Sales Funnel campaign executive,6 days left,https://www.freelancer.com/projects/internet-marketing/need-sales-funnel-campaign-executive/,"I am looking for sales funnel expert who can generate the real estate leads from Facebook and LinkedIn 

1. funnel, Facebook, Instagram, LinkedIn, 
2. SEO - [login to view URL] [login to view URL] -Bing ?

Note: 
I am only looking for freelancers so do not post fake company bid
I only person who have experienced in both field 
Please have a look the attached video, I want exactly like this type of sales lead



","Internet Marketing, SEO, Link Building, Marketing, Facebook Marketing", ₹1500-12500 INR,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",1 freelancer is bidding on average ₹1500 for this job,[]
PDF to Word,6 days left,https://www.freelancer.com/projects/word/pdf-word-33189602/,Looking for a new freelancer who have good typing skills to type data from 25 PDF into Word document with utmost accuracy,"Word, Data Entry, PDF, Copy Typing, Excel", $15-25 USD / hour,['E-mail Verified'],1 freelancer is bidding on average $20 for this job,[]
Videographer,6 days left,https://www.freelancer.com/projects/videography/videographer-33189544/,2 short clips to be filmed in Camdon London this morning at 10. am,Videography, $30-250 USD,['E-mail Verified'],Other jobs from this employer,[]
Stress hand calcs pipe - easy,6 days left,https://www.freelancer.com/projects/mechanical-engineering/stress-hand-calcs-pipe-easy/,"Would like hand calculations on stress in a rectangular tube under pressure 

Also bonus rivets holding the pressure - how much can they withstand 
Fea","Mechanical Engineering, Solidworks, CAD/CAM, 3D Modelling, Finite Element Analysis", £10-20 GBP,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",2 freelancers are bidding on average £29 for this job,"[{'url': '/u/Dammilare', 'rating': '4.3'}]"
Animal Empire Logo,6 days left,https://www.freelancer.com/projects/logo-design/animal-empire-logo/, Wanting to create a logo and brand for a new clothing label that is focused on sourcing materials that are good for the environment. There will be sub clothing categories I want to offer but will start with a sunsmart range and also look at a young child (under 12) range ,"Logo Design, Graphic Design, Photoshop, Illustrator, 3D Design", $250-750 AUD,['E-mail Verified'],33 freelancers are bidding on average $285 for this job,"[{'url': '/u/seabitmedia', 'rating': '4.9'}, {'url': '/u/alisharoz', 'rating': '5.0'}, {'url': '/u/GraphikMIRACLE', 'rating': '4.9'}, {'url': '/u/exxarts', 'rating': '4.8'}, {'url': '/u/Friends4it', 'rating': '4.8'}, {'url': '/u/tanvirmrt', 'rating': '4.9'}, {'url': '/u/glowflydesigner', 'rating': '4.9'}, {'url': '/u/graphixpower2', 'rating': '4.8'}, {'url': '/u/DaNaDesign08', 'rating': '4.9'}, {'url': '/u/alrightsolutions', 'rating': '4.9'}, {'url': '/u/CrazzyArt', 'rating': '4.9'}, {'url': '/u/Stunningart', 'rating': '4.9'}, {'url': '/u/sahildogra222', 'rating': '4.9'}, {'url': '/u/sanjaypatel2', 'rating': '5.0'}, {'url': '/u/Kreaytivelions', 'rating': '4.9'}, {'url': '/u/UpmarkCreation', 'rating': '4.9'}, {'url': '/u/mehtaanjli05', 'rating': '5.0'}, {'url': '/u/wingtechnologies', 'rating': '4.9'}, {'url': '/u/imranjafer789', 'rating': '4.8'}]"
Bootstrap / Admin LTE - Laravel Expert for theme implementation,6 days left,https://www.freelancer.com/projects/php/bootstrap-admin-lte-laravel-expert/,"Hi, I have a system based on laravel and it uses admin LTE theme for the dashboard. I need a bootstrap expert to change the current admin LTE theme to look like this one available here [login to view URL], both themes are based in boothstrap. Iam attaching the current layout image and the intended layout image. The pretended layout is the same as in bootstrap link, I just changed the colors and few things.

I can provide access to the online system if needed","PHP, Bootstrap, Laravel, Website Design, HTML", $30-250 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",7 freelancers are bidding on average $150 for this job,"[{'url': '/u/wadielnatrontv', 'rating': '4.9'}, {'url': '/u/tohamelnik', 'rating': '5.0'}, {'url': '/u/sergeymit', 'rating': '5.0'}, {'url': '/u/illiadoroshchak4', 'rating': '5.0'}, {'url': '/u/MdSahidullahusa', 'rating': '0.0'}, {'url': '/u/iinvtech', 'rating': '0.0'}]"
I need an essay writing agency,6 days left,https://www.freelancer.com/projects/research-writing/need-essay-writing-agency/,"Dear contact, 
I own a successful essay writing service and currently looking to expand it. I have my own writers and everything is operating smoothly; however, I was thinking that I will avoid all the headache with contacting the writers and having to make sure everything is done on time without plagiarism if I can hire an agency to do the whole process for me. I am looking for an agency with well trained professional writers that will finish the tasks with great quality and good prices. Since India is a country with an extremely low income per person compared to other countries across the world, I figured you may be a right fit for my business. If the tasks are done with god quality, on time, and good prices, we can significantly grow our number of clients which will definitely result in the growth of both businesses together. We currently pay around 7USD per 500 words to each writer that we operate with. If you can offer me 8USD/500 words, I will be able to expand both businesses with extremely fast pace as I will be able to grow the client base with my current great prices and decrease all the headache that comes from the writers' side which will make me focus more and more on the client experience and make sure that each of them is not a one time client. From my side, I wish I made everything clear and if you have anymore questions, please do not hesitate to ask. I would like to receive some kind of assurance that all the tasks will be done with great quality and on time. I will not ask for a specific way here as you are the ones that own the agency and know how to brand yourself to clients. If we reach an agreement from both parties,I would be more than happy to work with you! :)","Research Writing, Article Writing, Article Rewriting, Report Writing, Research", €250-750 EUR,['E-mail Verified'],2 freelancers are bidding on average €250 for this job,"[{'url': '/u/InoovativeThink', 'rating': '4.6'}]"
Image conversion,6 days left,https://www.freelancer.com/projects/data-entry/image-conversion-33189578/,There are 200 images that needs to be typed and convert to pdf document.,"Data Entry, Data Processing, Excel, Copy Typing, PDF", $250-750 USD,['E-mail Verified'],11 freelancers are bidding on average $423 for this job,"[{'url': '/u/hansraj32', 'rating': '0.0'}, {'url': '/u/Ramdhir3905', 'rating': '0.0'}, {'url': '/u/Swamisaran1996', 'rating': '0.0'}, {'url': '/u/Esameldin888', 'rating': '0.0'}, {'url': '/u/khalifanauman12', 'rating': '0.0'}, {'url': '/u/adityabhanja2', 'rating': '0.0'}, {'url': '/u/bhola4ua', 'rating': '0.0'}, {'url': '/u/ThomTTrieu', 'rating': '0.0'}, {'url': '/u/antorabadak', 'rating': '0.0'}, {'url': '/u/AbdullahMedhaat', 'rating': '0.0'}]"
I need interior design concepts and sketches,6 days left,https://www.freelancer.com/contest/i-need-interior-design-concepts-and-sketches-2066160.html,,,,[],,[]
"Want to upload 100 products with header, photos and description",6 days left,https://www.freelancer.com/projects/website-design/want-upload-products-with-header/,Online Store ready-made garments ,"Website Design, eCommerce, HTML, Shopping Carts, Graphic Design", ₹600-1500 INR,['E-mail Verified'],1 freelancer is bidding on average ₹1050 for this job,[]
draw a 2d drawing of 3d object (projection) in autocad,6 days left,https://www.freelancer.com/projects/autocad/draw-drawing-object-projection-autocad/,"draw a 2d drawing of a 3d object (projection) in AutoCAD
",AutoCAD, $2-8 USD / hour,['E-mail Verified'],1 freelancer is bidding on average $25 for this job,[]
plot a orthographic projections for given template in autocad,6 days left,https://www.freelancer.com/projects/autocad/plot-orthographic-projections-for-given/,"I want orthographic projections of given views 
the template will be given
you are expected to do this within two hours
the sample is attached here",AutoCAD, $10-30 USD,['E-mail Verified'],1 freelancer is bidding on average $50 for this job,[]
Russian to English Tutor,6 days left,https://www.freelancer.com/projects/russian/russian-english-tutor/,"Hi, 

I would like to hire a tutor for my family member who does not speak English. Looking for a long-term tutor to get their foundation and proficiency up. ","Russian, Translation, English (US) Translator, English (UK) Translator, Ukrainian", $15-25 CAD / hour,['E-mail Verified'],Similar jobs,[]
I need medical coding,6 days left,https://www.freelancer.com/projects/medical/need-medical-coding/,"Medical coder
Medical billing
Medical content writing","Medical, Coding", $15-25 USD / hour,['E-mail Verified'],Similar jobs,[]
Raspberry Pi Captive Portal Wifi Router for a LAN without internet.,6 days left,https://www.freelancer.com/projects/linux/raspberry-captive-portal-wifi-router/,"I'm a DJ that provides karaoke entertainment at bars and restaurants. I use my laptop for these karaoke shows. My karaoke dj program has the functionality to offer my customers the ability to log in to it to view their singers history's on their phones. I have a simple wifi router running with my setup which is never connected to the internet. My laptop and the customers phones both get on a network called ""XK Songbook"". My laptop always uses a static IP address. ex [login to view URL] Then the customers get on the ""XK Songbook"" wifi network. Their IP Addresses are DHCP assigned by the router. Then they go to the address [login to view URL] to search the songlist and their singer's histories. Right now it's a two step process with two separate QR Codes. I'd like to combine these steps in to a one step QR Code which would get them on the wifi network and direct them to the web interface of the karaoke program running on my laptop. Can this be done? Thanks!","Linux, Network Administration, C Programming, System Admin, Computer Security", $30-250 USD,['E-mail Verified'],Similar jobs,[]
"Python , K mean clustering",6 days left,https://www.freelancer.com/projects/python/python-mean-clustering/,"Data set , analysis and results","Python, Software Architecture, Machine Learning (ML), Data Processing, C Programming", €8-30 EUR,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",1 freelancer is bidding on average €25 for this job,[]
Videographer and stills photos,6 days left,https://www.freelancer.com/projects/video-editing/videographer-stills-photos/,"2 shot clips in Camden, London  this morning at 10 am VERY UrGENT","Video Editing, Photoshop, Video Services, After Effects", $30-250 USD,['E-mail Verified'],5 freelancers are bidding on average $190 for this job,"[{'url': '/u/mehtaanjli05', 'rating': '5.0'}, {'url': '/u/sohail8464', 'rating': '5.0'}, {'url': '/u/marinafokina9696', 'rating': '5.0'}, {'url': '/u/Friends4it', 'rating': '4.9'}]"
%% Need character design %%,6 days left,https://www.freelancer.com/projects/graphic-design/need-character-design-33189483/,"I need character designed /draw ,  show me you past artworks and drawings to be considered for hire. ","Graphic Design, Photoshop, Illustrator, Caricature & Cartoons, 2D Drawing", $10-150 USD,"['E-mail Verified', 'Payment Verified']",8 freelancers are bidding on average $85 for this job,"[{'url': '/u/wingtechnologies', 'rating': '4.9'}, {'url': '/u/operat0r', 'rating': '4.9'}, {'url': '/u/hossainbaf', 'rating': '4.8'}, {'url': '/u/Emator', 'rating': '4.8'}, {'url': '/u/dotcircle64', 'rating': '5.0'}, {'url': '/u/Resolutionn', 'rating': '0.0'}, {'url': '/u/RichardWealth80', 'rating': '0.0'}]"
Victorian Masters Athletics Championships,6 days left,https://www.freelancer.com/projects/general-labor/victorian-masters-athletics/,Up to 6 people required on Saturday 19th March from 7.15 am to 2pm & Up to 10 people requirrd Sunday 20 th March from 8.30 am to 5pm to assist with running of an Athletics event at Lakeside Stadium Albert Park. Payment rate $20hr. ,General Labor, $8-15 AUD / hour,['E-mail Verified'],Similar jobs,[]
new logo for me,6 days left,https://www.freelancer.com/projects/logo-design/new-logo-for-33189455/,"Design new logo - simple logo
","Logo Design, Graphic Design, Photoshop, Illustrator", $10-30 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",47 freelancers are bidding on average $22 for this job,"[{'url': '/u/exxarts', 'rating': '4.8'}, {'url': '/u/glowflydesigner', 'rating': '4.9'}, {'url': '/u/zenevatech', 'rating': '4.8'}, {'url': '/u/Rakibul0696', 'rating': '5.0'}, {'url': '/u/graphixpower2', 'rating': '4.8'}, {'url': '/u/crea8ivetechno', 'rating': '4.8'}, {'url': '/u/graphicbeez', 'rating': '5.0'}, {'url': '/u/UpmarkCreation', 'rating': '4.9'}, {'url': '/u/mehtaanjli05', 'rating': '5.0'}, {'url': '/u/alrightsolutions', 'rating': '4.9'}, {'url': '/u/CrazzyArt', 'rating': '4.9'}, {'url': '/u/Stunningart', 'rating': '4.9'}, {'url': '/u/Kreaytivelions', 'rating': '4.9'}, {'url': '/u/creativegraaphic', 'rating': '4.8'}, {'url': '/u/vipjcreative', 'rating': '4.9'}, {'url': '/u/jinug', 'rating': '4.9'}, {'url': '/u/enilatech', 'rating': '4.9'}, {'url': '/u/wingtechnologies', 'rating': '4.9'}, {'url': '/u/ismail80196', 'rating': '5.0'}]"
Content Write For Education Website,6 days left,https://www.freelancer.com/projects/articles/content-write-for-education-website-33189480/,"Hello Folks, Looking for the content writer to write a blog for our new launch startup Edtech platform This blog will be knowledge-based writing & very much focus on digital marketing Interested candidate","Article Writing, Content Writing, Ghostwriting, Copywriting, Article Rewriting", $15-25 USD / hour,['E-mail Verified'],10 freelancers are bidding on average $18/hour for this job,"[{'url': '/u/SupremeWriters', 'rating': '4.9'}, {'url': '/u/FineIdeas', 'rating': '4.9'}, {'url': '/u/SolutionMart', 'rating': '4.8'}, {'url': '/u/writingvector', 'rating': '5.0'}, {'url': '/u/varimaxanalytic', 'rating': '5.0'}, {'url': '/u/HelpingLab', 'rating': '4.9'}, {'url': '/u/Monroeville', 'rating': '5.0'}, {'url': '/u/Annmarie1995', 'rating': '0.0'}, {'url': '/u/rabeaamna', 'rating': '0.0'}]"
Find marketing influencers and communities in social media (Indonesia),6 days left,https://www.freelancer.com/projects/internet-marketing/find-marketing-influencers-communities-33189482/,"I need an assistance on data mining and research to find digital marketing influencers and experts in Indonesia. 

1. The first task is to find marketing/digital marketing/SEO/SMM influencers in social media, such as: Instagram, Twitter, Youtube, TikTok.

Expectations:
Influencer should be 21 years old plus+
Influencer posts information about digital marketing tools, cases, strategies, their own experience. 
Posts should have an educational value and useful, and contain some 
Would be great, if an influencer has speaker and educator experience (as a webinar host, or online course speaker, or a lecturer etc)
Influencer have at least one account in following social media: Instagram, Twitter, Youtube, TikTok.
The account should have not less than 1500 subscribers 

2. The second task is to find influencers, who worked with Ruang Guru, Quipper, Binar academy

3. The third task is to find digital marketing experts (SEO, SMM, Google ads experts, marketing strategists), who worked as a speaker (lecturer) with Binar Academy, Ruang Guru, Quipper

4.  The fourth task is to find lecturers from Indonesian universities, who are giving the lectures for the following topics

1. marketing strategy
2. digital marketing 
3. marketing tools
4. SMM
As a result of the task I need a list of contacts: Linkedin, email, WhatsApp, telegram  

5. The last task is to find digital marketing chats and communities in WhatsApp/telegram/Line
As a result I expect the links/invitation to these communities ","Internet Marketing, Social Media Marketing, Virtual Assistant, Data Mining", $30-250 USD,['E-mail Verified'],Similar jobs,[]
We are looking for a fabric designer !,6 days left,https://www.freelancer.com/projects/graphic-design/are-looking-for-fabric-designer/,"This task is an excellent opportunity to work with an innovative company looking for someone skilled for this task. So we are looking for you! Someone with serious design talent and experience in the industry; what do you offer? 

We are looking for someone to help us design a pattern of linen structure. We will use the design to print on glass in the global home decorating retail market. The lively but straightforward look and soft feeling are vital. COSY - SOFT - NATURAL - FEMININ is essential feelings.

If you are out there, there is more to come.

We are in for the long run.","Graphic Design, Fashion Design, Illustration, Concept Design, Fabric Printing Design", $25-75 USD / hour,['E-mail Verified'],Other jobs from this employer,[]
